№,Раздел,Компонент / позиция,Назначение,Пример исполнения,Кол-во на партию,Ед.,"Цена/ед., $","Сумма, $",Примечание
A1,A. Электроника и механика,"Одноплатный компьютер, 8 ГБ ОЗУ","Основной вычислитель: обработка звука, распознавание речи, диаризация","Raspberry Pi 5, 8 ГБ",3,шт,120,360,"Цена выросла из-за дефицита DRAM (2026); до кризиса ~$80"
A2,A. Электроника и механика,Активное охлаждение,Отвод тепла процессора под нагрузкой,Радиатор + вентилятор (Active Cooler),3,шт,6,18,
A3,A. Электроника и механика,Блок питания 27 Вт USB-C PD,Электропитание устройства,"5 В / 5 А, USB-C PD",3,шт,14,42,
A4,A. Электроника и механика,Плата-адаптер M.2 (PCIe),Подключение твердотельного накопителя,M.2 HAT+,3,шт,16,48,
A5,A. Электроника и механика,Накопитель NVMe SSD 256 ГБ,Система и хранение аудиозаписей/стенограмм,M.2 2280 NVMe,3,шт,38,114,Цена NAND выросла ~60% (2026)
A6,A. Электроника и механика,Карта microSD 32 ГБ,Первичная загрузка / резерв,"microSD, класс A1",3,шт,8,24,
A7,A. Электроника и механика,Микрофонный массив с аппаратным DSP (USB),"Приём звука, направленный луч, DOA, эхоподавление","ReSpeaker USB Mic Array v2.0 (XVF-3000), 4 мик.",3,шт,80,240,"Прототип: USB; серия — кастомный MEMS-массив на XVF-3800 (ADR-0002)"
A8,A. Электроника и механика,Информационный экран,"Статус, таймер, имена участников","Круглый IPS LCD 1.28"" (240×240)",3,шт,12,36,
A9,A. Электроника и механика,Кнопка аппаратного отключения микрофонов,Гарантированный разрыв звукового тракта,Тактовая кнопка + переключатель питания,3,шт,3,9,
A10,A. Электроника и механика,Кнопки управления,Запись / метка важного момента / пауза,Тактовые кнопки (3 на устройство),9,шт,1,9,
A11,A. Электроника и механика,Часы реального времени (RTC),Датировка записей в автономном режиме,Модуль DS3231 + батарейка,3,шт,5,15,
A12,A. Электроника и механика,Акустическая ткань / сетка,Защита и акустика микрофонных окон,"Ткань для динамиков; требования — hardware/CASE-COVER.md",3,компл,3,9,
A13,A. Электроника и механика,Светорассеивающее кольцо (диффузор),Равномерная подсветка индикатора,Полупрозрачный пластик или печать прозрачной смолой,3,шт,3,9,
A14,A. Электроника и механика,Противоскользящее основание / ножки,Устойчивость на столе,Резиновые ножки,3,компл,2,6,
A15,A. Электроника и механика,"Крепёж, стойки, винты",Сборка конструктива,"Метизы M2.5/M3, стойки",3,компл,3,9,
A16,A. Электроника и механика,Внутренние шлейфы и провода,Межплатные соединения,"FFC-шлейфы, провода, коннекторы",3,компл,5,15,
A17,A. Электроника и механика,Термоинтерфейс,Теплоотвод,Термопрокладки,3,компл,2,6,
A18,A. Электроника и механика,Сборка и тестирование,Монтаж и проверка (штучно),Труд,3,компл,25,75,Ориентир для прототипной сборки
,,,,,,,"Подытог A (электроника и механика, 3 устройства):",1044,
B1,B. ЗИП партии,Запас мелочёвки,"Кнопки, крепёж, шлейфы, microSD на замену брака",~5% от электроники,1,компл,20,20,
C1,C. Печать корпусов (SLA),"Фотополимерная смола, бутылка 1 кг","Корпуса: цилиндр Ø150×H180, крышки, решётка — hardware/INDUSTRIAL-DESIGN.md","Инженерная ABS-like / Tough, 405 нм",2,шт,30,60,"Расход ≈ 0,40–0,45 кг на корпус с поддержками и браком; 3 корпуса ≈ 1,3 кг"
C2,C. Печать корпусов (SLA),Изопропиловый спирт (IPA) 5 л,Промывка деталей после печати,"ИПС 99%",1,шт,12,12,
C3,C. Печать корпусов (SLA),Расходники постобработки,"Перчатки нитриловые, воронки с фильтрами, салфетки, запасная FEP-плёнка",Комплект,1,компл,15,15,
,,,,,,,Подытог C (печать корпусов):,87,
D1,D. Опции (на все 3 устройства),Нейроускоритель M.2,Ускорение распознавания речи на устройстве,Hailo-8L (13 трлн оп/с),3,шт,70,210,Занимает слот M.2 — нужен двойной адаптер или загрузка с microSD
D2,D. Опции (на все 3 устройства),Кольцевой световой индикатор,Запись/пауза/готовность; подсветка сектора говорящего,Адресные RGB-светодиоды (24 шт),3,шт,8,24,Может быть встроен в USB-массив — тогда не требуется
D3,D. Опции (на все 3 устройства),Модуль ИБП / контроллер заряда,Автономная работа без сети,UPS HAT,3,шт,30,90,
D4,D. Опции (на все 3 устройства),Аккумуляторы Li-ion 18650 + держатель,Резервное питание,"2× 3500 мА·ч на устройство",6,шт,6,36,
D5,D. Опции (на все 3 устройства),Динамик + усилитель,"Голосовые подсказки, синтез речи",Динамик 3–5 Вт + плата усилителя,3,шт,9,27,Обязателен для навыков home/facilitator (голос Вики)
,,,,,,,Подытог D (опции на 3 устройства):,387,
,,,,,,,"ИТОГО база (A+B+C):",1151,"≈ 109 300 ₽ по курсу 95 ₽/$"
,,,,,,,"ИТОГО база + опции (A+B+C+D):",1538,"≈ 146 110 ₽"
