№,Категория,Компонент / позиция,Назначение,Пример исполнения,Кол-во,Ед.,"Цена/ед., $","Сумма, $",Примечание
1,Вычисление,Одноплатный компьютер,Захват и потоковая передача звука в облако/контур,Raspberry Pi Zero 2 W,1,шт,18,18,"Не затронут дефицитом DRAM; для 6–8 каналов возможен Pi 4 2 ГБ (~$45)"
2,Вычисление,Блок питания USB-C 5 В / 3 А,Электропитание,"15 Вт, USB-C",1,шт,8,8,
3,Вычисление,Карта microSD 16 ГБ,Загрузка операционной системы,"microSD, класс A1",1,шт,6,6,
4,Звуковой тракт,Микрофонный массив с аппаратным DSP (USB),"Приём звука, направленный луч, определение направления, эхоподавление",ReSpeaker USB Mic Array v2.0,1,шт,80,80,
5,Индикация / управление,Световая индикация,Запись / готовность,RGB-светодиоды,1,шт,4,4,
6,Индикация / управление,Кнопка отключения микрофонов,Разрыв звукового тракта,Кнопка / переключатель,1,шт,3,3,
7,Корпус и механика,Корпус устройства,Конструктив,3D-печать (прототип),1,компл,8,8,
8,Корпус и механика,Крепёж и провода,Сборка,"Метизы, провода",1,компл,5,5,
9,Сборка,Сборка и тестирование,Монтаж и проверка,Труд,1,компл,15,15,
,,,,,,,ИТОГО базовая конфигурация:,147,Опций нет
