№,Категория,Компонент / позиция,Назначение,Пример исполнения,Кол-во,Ед.,"Цена/ед., $","Сумма, $",Примечание
1,Вычисление,"Одноплатный компьютер, 8 ГБ ОЗУ","Основной вычислитель: обработка звука, распознавание речи, диаризация","Raspberry Pi 5, 8 ГБ",1,шт,120,120,"Цена выросла из-за дефицита DRAM (2026); до кризиса ~$80"
2,Вычисление,Активное охлаждение,Отвод тепла процессора под нагрузкой,Радиатор + вентилятор (Active Cooler),1,шт,6,6,
3,Вычисление,Блок питания 27 Вт USB-C PD,Электропитание устройства,"5 В / 5 А, USB-C PD",1,шт,14,14,
4,Вычисление,Плата-адаптер M.2 (PCIe),Подключение твердотельного накопителя,M.2 HAT+,1,шт,16,16,
5,Вычисление,Накопитель NVMe SSD 256 ГБ,Система и хранение аудиозаписей/стенограмм,M.2 2280 NVMe,1,шт,38,38,Цена NAND выросла ~60% (2026)
6,Вычисление,Карта microSD 32 ГБ,Первичная загрузка / резерв,"microSD, класс A1",1,шт,8,8,
7,Звуковой тракт,Микрофонный массив с аппаратным DSP (USB),"Приём звука, направленный луч, определение направления, эхоподавление","ReSpeaker USB Mic Array v2.0 (XVF-3000), 4 мик.",1,шт,80,80,"Прототип: USB, совместим с Pi 5; серия — кастомный MEMS-массив на XVF-3800 (ADR-0002)"
8,Индикация / управление,Информационный экран,"Статус, таймер, имена участников","Круглый IPS LCD 1.28"" (240×240)",1,шт,12,12,
9,Индикация / управление,Кнопка аппаратного отключения микрофонов,Гарантированный разрыв звукового тракта,Тактовая кнопка + переключатель питания,1,шт,3,3,
10,Индикация / управление,Кнопки управления,Запись / метка важного момента / пауза,Тактовые кнопки,3,шт,1,3,
11,Индикация / управление,Часы реального времени (RTC),Датировка записей в автономном режиме,Модуль DS3231 + батарейка,1,шт,5,5,
12,Корпус и механика,Корпус устройства,Конструктив настольного исполнения,Прототип: 3D-печать (SLA/FDM),1,компл,8,8,"Серия — литьё под давлением (пресс-форма, NRE — README.md)"
13,Корпус и механика,Акустическая ткань / сетка,Защита и акустика микрофонных окон,Ткань для динамиков,1,компл,3,3,
14,Корпус и механика,Светорассеивающее кольцо (диффузор),Равномерная подсветка индикатора,Полупрозрачный пластик,1,шт,3,3,
15,Корпус и механика,Противоскользящее основание / ножки,Устойчивость на столе,Резиновые ножки,1,компл,2,2,
16,Корпус и механика,"Крепёж, стойки, винты",Сборка конструктива,"Метизы M2.5/M3, стойки",1,компл,3,3,
17,Корпус и механика,Внутренние шлейфы и провода,Межплатные соединения,"FFC-шлейфы, провода, коннекторы",1,компл,5,5,
18,Корпус и механика,Термоинтерфейс,Теплоотвод,Термопрокладки,1,компл,2,2,
19,Сборка,Сборка и тестирование,Монтаж и проверка (штучно),Труд,1,компл,25,25,Ориентир для прототипной сборки
,,,,,,,ИТОГО базовая конфигурация:,356,
